TRANSACTION DETAILS,Category
Indiaforensic AEPS NPCI DEP SET,Other
CASHDEP/GURGAON/LCT,Cash Deposits
Indiaforensic RUPAY POS ACQ25111,Other
CASHDEP/KAROL BAGH/,Cash Deposits
CR806011889723/RMCPL16858/0,Other
NEFT/BARBH17179441214/MAK,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic NFS SETT 12-09-201,Other
E-BILLING SOLUTIONS PRIVA,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/KAROL BAGH/,Cash Deposits
PASFAR TECHNOLOGIES PRIVA,Business Services
INDIAIDEAS.COM LTD,Payment Gateways
CR/701912310898/RMCPL09249/,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
INTERNAL FUND TRANSFER IN,Bank Transfers
Sweep Trf To: 40900036427,Bank Transfers
TRF TO Indiaforensic SERVICES IN,Business Services
BSES YAMUNA POWER LIMITED,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
ZAAK EPAYMENT SERVICES PR,Other
RTGS/SBINH15349534565/Indfor,Other
RTGS/SBINH16183685704/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/BARBH17212911475/MAK,Other
RTGS/ICICH16025739768/Indfor,Other
CASHDEP/NOIDA/TP,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS OW 22032017 3C,Other
Indiaforensic NFS SETT 29-06-201,Other
AEPS Indiaforensic GST 281017,Other
Indiaforensic NFS SETT 07-08-201,Other
IMPS-731420099707,Other
IMPS 803223163330 FROM OX,Other
RTGS/SBHYH16224825970/Indfor,Other
IRCTC CORPORATE OFFICE AC,Travel
Repayment credit [7090027,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
CASHDEP/KAROL BAGH/LCT,Cash Deposits
CR719211638385/RMCPL13971/1,Other
TRF FROM  Indiaforensic SERVICES,Business Services
CASHDEP/NOIDA/TP,Cash Deposits
RTGS/ICICH15290140054/Indfor,Other
TRF FROM  Indiaforensic SERVICES,Business Services
RTGS/YESBH16007124182/Indfor,Other
CASHDEP/NOIDA/TP,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
Indiaforensic VISA ACQ DOM101117,Other
CASHDEP/HAUS KHAS/LCT/SAN,Cash Deposits
CHQ DEP/552525/OWDEL1/SBI,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
AEPS ACQ REP ADJ FEES 271,Other
NEFT/SBIN217066791909/Indfor,Other
Indiaforensic MAESTRO ACQ DOM271,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
CR816211418847/RMCPL11793/1,Other
TRF FROM  Indiaforensic SERVICES,Business Services
NEFT/CBINH16272A09197/SAN,Other
RTGS/SBINH15356855088/Indfor,Other
NEFT/SBIN615224951558/Indfor,Other
VOUCHER ACTIVATION SERVIC,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
VISA POS ACQ SETTL 240117,Other
IMPS 800218065914 FROM OX,Other
CASHDEP/GURGAON/,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS 130620181C,Other
Indiaforensic  RUPAY SETT 261118,Other
NEFT/000060244396/DISH IN,Other
MAESTRO POSDOM ACQ SETTL1,Other
IMPS OW 02062016 3C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
RTGS/CITIH17209704610/PAY,Other
NORTH DELHI POWER LTD,Other
Indiaforensic SERVICES INDIA PVT,Business Services
INTERNAL FUND TRANSFER IN,Bank Transfers
CHQ DEPOSIT RETURN/349886,Other
Indiaforensic  RUPAY SETT 291218,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/ICICH15304930718/Indfor,Other
CR720514915478/RMCPL10817/2,Other
Indiaforensic NFS SETT 09-08-201,Other
Indiaforensic NFS SETT 16-08-201,Other
KRYPTOS MOBILE PRIVATE LI,Other
AEPS Indiaforensic GST 240318,Other
CR800918655059/RMCPL02803/0,Other
IRTT00701508838,Other
CASHDEP/KAROL BAGH/,Cash Deposits
IMPS 803223163537 FROM OX,Other
RTGS/YESBH16312052648/Indfor,Other
CHQ DEP/39889/OWDEL1/CBIN,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/SADARBAZAR/,Cash Deposits
CASHDEP/VASANTVIHA/,Cash Deposits
FUDN TRF TO  Indiaforensic SERVI,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/FARIDABAD/TP,Cash Deposits
BHAGALPUR ELECTRICITY DIS,Other
CR808310149857/RMCPL23412/2,Other
Indiaforensic NFS SETT 25-06-201,Other
CR819408798465/RMCPL24836/1,Other
Indiaforensic RUPAY POS C2 ACQ06,Other
VOUCHER ACTIVATION SERVIC,Other
IMPS 310120193C,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
MAW/502964XXXXXX7333/Karu,Other
IMPS OW 24122016 1C,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/SBINH18215006098/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
AEPS INC DT 26-01-2019 RO,Other
Indiaforensic AEPS NPCI DEP SET,Other
MICRO ATM INC DATED 15011,Other
TRF TO  Indiaforensic SERVICES I,Business Services
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
NEFT/KKBK162254887593/ACC,Other
IMPS PENALTY 03022016 1C,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
BEAT CSH PKP DEL GURG 727,Other
CASHDEP/RAJOURI/,Cash Deposits
CASHDEP/GURGAON/,Cash Deposits
MEHAR ENTERTAINMENT PRIVA,Entertainment
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
VALUACCESS SERVICES PRIVA,Other
NEFT/SBIN316076589062/Indfor,Other
CASHDEP/GURGAON/,Cash Deposits
722423231975,Other
RTGS/SBINH16190933639/Indfor,Other
RTGS/ICICH17040739898/Indfor,Other
NEFT/SBIN816025413093/Indfor,Other
CR734109068544/RMCPL15716/0,Other
RTGS/SBINH15313163289/Indfor,Other
BIGTREE ENTERTAINMENT PRI,Entertainment
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
E-BILLING SOLUTIONS PRIVA,Other
TRF TO  Indiaforensic SERVICES I,Business Services
RTGS/ICICH16109477739/Indfor,Other
CR801016144401/RMCPL13536/1,Other
MASTER POSDOM ACQ SETTL19,Other
IMPS 280917 3C,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
NEFT/AXISF15239029357/Indfor,Other
IMPS 813120128012 FROM OX,Other
IRCTC CORPORATE OFFICE AC,Travel
CASHDEP/CAPITOL PT/,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FUTURE RETAIL LIMITED (OW,Shopping/Retail
APPNIT TECHNOLOGIES PRIVA,Other
CASHDEP/SILVASSA/,Cash Deposits
CR808610959065/RMCPL22308/2,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/GURGAON/,Cash Deposits
TRF FRM  Indiaforensic SERVICES,Business Services
CASHDEP/BHI-RIICO/,Cash Deposits
RTGS/SBINH18015010997/Indfor,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CR718514416403/RMCPL15777/0,Other
IMPS OW 14032017 3C,Other
RTGS/ICICH18239567123/Indfor,Other
Indiaforensic SERVICES INDIA PVT,Business Services
CASHDEP/KAROL BAGH/LCT,Cash Deposits
BBPS SETMNT FOR DT 111020,Other
TRF TO  Indiaforensic SERVICES I,Business Services
Indiaforensic NFS SETT 03-12-201,Other
AVENUES INDIA PRIVATE LIM,Payment Gateways
CR712316417013/RMCPL05050/1,Other
RTGS/SBINH16145169058/Indfor,Other
NEFT/CBINH16299A08915/MAH,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF FROM  Indiaforensic SERVICES,Business Services
NEFT/FDRL401249531/Indiaforensic,Other
DD CHARGES,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/BADLAPUR/,Cash Deposits
TRF TO  Indiaforensic SERVICES I,Business Services
IMPS 080517 1C,Other
RTGS/SBINH16250090550/Indfor,Other
MEHAR ENTERTAINMENT PRIVA,Entertainment
CASHDEP/GHATKOPAR/,Cash Deposits
MICRO ATM INC DATED 16011,Other
Indiaforensic NFS SETT 08-08-201,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
RTGS/SBINH16121254843/Indfor,Other
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
CASHDEP/NOIDA/TP,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/GURGAON/,Cash Deposits
CASHDEP/RMALL/,Cash Deposits
CASHDEP/GURGAON/,Cash Deposits
Indiaforensic AEPS NPCI DEP SET,Other
OXYGEN NFS SETT 27-05-18,Other
TRF FRM  Indiaforensic SERVICES,Business Services
CASHDEP/PANIPAT/0146,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic VISA ACQ INT 22091,Other
CR823616242585/RMCPL24589/2,Other
RTGS/BARBH17328568342/MAK,Other
CHAUDHARY  CO,Other
Indiaforensic NFS SETT 13-02-201,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
BIDDERBOY CORPORATION,Other
MEHAR ENTERTAINMENT PRIVA,Entertainment
INTERNAL FUND TRANSFER IN,Bank Transfers
NEFT/AXISF15314004260/Indfor,Other
MICRO ATM GST DATED 23101,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/REAL TIME GROSS SETTL,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
NEFT/FDRL428254347/Indiaforensic,Other
METRO INFRASYS PRIVATE LI,Other
RTGS/SBINH15320362935/Indfor,Other
CR725611985811/RMCPL10677/1,Other
CASHDEP/KAROL BAGH/,Cash Deposits
CASHDEP/SILVASSA/,Cash Deposits
NEFT/AXISF16116017678/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
CASHDEP/RAJOURI/,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
"Indiaforensic USA, INC./USD/1258",Other
OXYGEN NFS SETT 08-06-201,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
722619543447,Other
CHQ DEP/151194/OWDEL2/UBI,Other
FT ZL18050724549963 PRAVE,Other
CASHDEP/SILVASSA/,Cash Deposits
NPCI SETELEMENT DIFF_2610,Other
CASHDEP/DOMBIVLI-E/,Cash Deposits
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
CASHDEP/PITAMPURA/TP,Cash Deposits
TRF FROM Indiaforensic SERVICES,Business Services
INTERNAL FUND TRANSFER IN,Bank Transfers
NEFT/KKBK163445219278/Acc,Other
NEFT/CITIN18834909938/RTG,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RUPAY POS ACQ SETTL 01011,Other
NEFT/N164180562874540/ESS,Other
AEPS Indiaforensic INCOME 180118,Other
NEFT/KKBK173121020774/Acc,Other
RTGS/ICICH15257095121/Indfor,Other
CASHDEP/KAROL BAGH/,Cash Deposits
CASHDEP/THANEWEST/LCT,Cash Deposits
CR820510538031/RMCPL24011/2,Other
IMPS 260320184C,Other
RTGS/SBINH17003033086/Indfor,Other
SWCH BHRT CESS - DMT CHAR,Other
CASHDEP/VIKASMARG/TP,Cash Deposits
Indiaforensic SERVICES INDIA PVT,Business Services
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/RAJOURI/,Cash Deposits
MICRO ATM INC DATED 20091,Other
CHQ DEP/98043/OWDEL1/SBIN,Other
Indiaforensic NFS SETT 13-02-201,Other
CASHDEP/KAROL BAGH/,Cash Deposits
727215380858,Other
Indiaforensic NFS SETT 28-11-201,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/RAJOURI/,Cash Deposits
CASHDEP/KAROL BAGH/,Cash Deposits
OXYGEN NFS SETT 07-07-201,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS IW 04122015 2C,Other
710215562362,Other
CASHDEP/HAUS KHAS/CASH DE,Cash Deposits
Indiaforensic AEPS NPCI DEP SET,Other
NOMISMA MOBILE SOLUTIONS,Finance
NEFT/CITIN17778168881/PAY,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CHQ DEPOSIT RETURN/287/CH,Other
NEFT/FDRL352518535/Indiaforensic,Other
METRO INFRASYS PRIVATE LI,Other
NEFT/FDRL504548831/Indiaforensic,Other
Indiaforensic NFS SETT 09-08-201,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/KAROL BAGH/,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/VAPI/,Cash Deposits
RTGS/SBINH16088741728/Indfor,Other
TRF TO Indiaforensic SERVICES IN,Business Services
TRF FROM  Indiaforensic SERVICES,Business Services
BIGTREE ENTERTAINMENT PRI,Entertainment
IMPS OW 10022017 3C,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/GURGAON/,Cash Deposits
AEPS Indiaforensic INCOME 030817,Other
CASHDEP/DOMBIVLI-E/,Cash Deposits
K K CESS DEC 16,Other
CASHDEP/GURGAON/,Cash Deposits
TRF FROM  Indiaforensic SERVICES,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/SBINH16250090427/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic NFS SETT 26-10-201,Other
RTGS/YESBH16133943528/Indfor,Other
729719252890,Other
CHQ DEP/135941/OWDEL1/CBI,Other
TRF FRM  Indiaforensic SERVICES,Business Services
AEPS INCOME DT 15-09-2018,Other
NEFT/SBIN916357574078/Indfor,Other
SERVICE TAX,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
AEPS Indiaforensic GST 020817,Other
NEFT/N165180564296124/PAY,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
632411565146,Other
IMPS-731420105916,Other
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
Indiaforensic NFS SETT 27-11-201,Other
CASHDEP/VIKASMARG/TP,Cash Deposits
DSB CASH PICKP Indiaforensic MET,Cash Deposits
Indiaforensic NFS SETT 15-01-201,Other
FUND TRF  Indiaforensic SERVICES,Business Services
CR821310482060/RMCPL15559/0,Other
RTGS/HDFCH18071866105/PAY,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
TRF FROM Indiaforensic SERVICES,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS 130920183C,Other
NEFT/FDRL504549103/Indiaforensic,Other
BIDDERBOY CORPORATION,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
RTGS/BARBH17361503981/MAK,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
724420720227,Other
RUPAY POS ACQ SETTL 07101,Other
CR821411780146/RMCPL22397/0,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IMPS 736319763257 FROM OX,Other
IMPS IW 14112016 2C,Other
CASHDEP/BOISAR/,Cash Deposits
RTGS/ICICH17108371757/Indfor,Other
TRF TO  Indiaforensic SERVICES I,Business Services
Indiaforensic RUPAY POS C2 ACQ27,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NEFT/000047260843/Indiaforensic,Other
Indiaforensic RUPAY SETT 081018,Other
RTGS/YESBH15246656210/Indfor,Other
IMPS OW 26072016 4C,Other
VOUCHER ACTIVATION SERVIC,Other
CASHDEP/FARIDABAD/TP,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
IMPS IW 04042016 3C,Other
TRF TO  Indiaforensic VIRTUAL VI,Other
IMPS 834517728449 FROM OX,Other
NEFT/FDRL387160034/Indiaforensic,Other
NEFT/CITIN17757041482/PAY,Other
NEFT/SBIN815287873925/Indfor,Other
IB:  OFT TO XX6428 INTERN,Other
CASHDEP/FARIDABAD/TP,Cash Deposits
Indiaforensic AEPS NPCI WDL SET,Other
PASFAR TECHNOLOGIES PRIVA,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/PITAMPURA/,Cash Deposits
BEAT CSH PKP DEL GURG 148,Other
Indiaforensic NFS SETT 21-06-201,Other
Indiaforensic SERVICES INDIA PVT,Business Services
IMPS 150318 2C,Other
CR716311243551 RMCPL13559 1,Other
BEAT CASH PKP GURGAON 142,Other
CHQ DEPOSIT RETURN/789122,Other
TFR FRM 409000438611  Indfor,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
NEFT/AXIC161628152866/Indfor,Other
INDO GIBL Indiaforensic STL13111,Other
IB:TPFT0050810471 4090004,Other
INDIAIDEAS.COM LTD,Payment Gateways
CASHDEP/NOIDA/TP,Cash Deposits
TRF FROM  Indiaforensic SERVICES,Business Services
IRCTC CORPORATE OFFICE AC,Travel
NEFT/CITIN17787883951/PAY,Other
Indiaforensic AEPS NPCI DEP SET,Other
IMPS 111117 1C,Other
CASHDEP/SURAT/,Cash Deposits
CR717111580047/RMCPL15135/1,Other
CASHDEP/RAJOURI/,Cash Deposits
CASHDEP/RAJOURI/,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/SBINH17289004560/Indfor,Other
TECHJINI DIGITAL SERVICES,Other
AEPS Indiaforensic INCOME 131216,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
TRF FROM  Indiaforensic SERVICES,Business Services
CASHDEP/DOMBIVLI-E/,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/RAJOURI/,Cash Deposits
TRF TO Indiaforensic SERVICES IN,Business Services
MEHAR ENTERTAINMENT PRIVA,Entertainment
Indiaforensic VISA ACQ DOM211217,Other
Sweep Trf From: 709001787,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
Indiaforensic RUPAY STL INTC0111,Other
Indfor INCOME INDO REMI10071,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NOMISMA MOBILE SOLUTIONS,Finance
CR736212798028/RMCPL19235/2,Other
BEAT CSH PKP DEL GURG 643,Other
RTGS/STBPH16061249615/Indfor,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
JUST DIAL LIMITED,Business Services
NEFT/KVBL316204189048/Indfor,Other
NEFT/FDRL428254234/Indiaforensic,Other
CASHDEP/KAROL BAGH/LCT,Cash Deposits
CR717211131605/RMCPL13972/1,Other
Indiaforensic MASTER ACQ DOM1008,Other
RTGS/ICICH17105826490/Indfor,Other
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
RTGS/SBINH15321400516/Indfor,Other
PBGI01001700225:Bank Guar,Other
Indiaforensic VISA ACQ DOM091017,Other
NEFT/000056411119/INDIAN,Other
CASHDEP/SILVASSA/CASH DEP,Cash Deposits
ICA 17825 Indiaforensic MC DOM 0,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/SADARBAZAR/,Cash Deposits
RTGS/UTIBH15206021229/Indfor,Other
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
ICA 17825 Indiaforensic MC DOM 1,Other
IMPS 820815319390 FROM PU,Other
CASHDEP/GURGAON/,Cash Deposits
IRCTC CORPORATE OFFICE AC,Travel
CASHDEP/KAROL BAGH/,Cash Deposits
TRF TO  Indiaforensic SERVICES I,Business Services
AEPS ACQ CR ADJ FEES 3108,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
NEFT/N253160186426336/Indfor,Other
RTGS/SBINH16218994224/Indfor,Other
NEFT/KKBK173506148806/Acc,Other
CR735611673152/RMCPL21551/2,Other
OXYGEN NFS SETT 11-06-201,Other
NEFT/FDRL1012077616/ARTHAS,Other
INTEX TECHNOLOGIES INDIA,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/SBINH17168048224/Indfor,Other
NEFT/KKBK170068779657/Acc,Other
RTGS/CORPH17081400004/RAM,Other
CASHDEP/THANEWEST/LCT,Cash Deposits
TRF TO  Indiaforensic SERVICES I,Business Services
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
RTGS/IDFBH17188300066/ART,Other
BBPS DT 21082018,Other
CASHDEP/RMALL/,Cash Deposits
722423231232,Other
DSB CASH PICKP Indiaforensic GUR,Cash Deposits
CASHDEP/FARIDABAD/TP,Cash Deposits
RTGS/SBHYH16204727648/Indfor,Other
BEAT CSH PKP DEL UDYO 620,Other
SRS LIMITED,Other
IMPS IW 07052016 2C,Other
IMPS IW 05012017 2C,Other
CB819418940693/RMCPL16717/1,Other
Sweep Trf To: 40900036427,Bank Transfers
